,,,RAG,,,,,Fine Tune,,,,
Model ,Parameter,Fold,BLEU,ROUGEL,BERT SCORE_F1,Accuracy,Train Loss,BLEU,ROUGEL,BERT SCORE_F1,Accuracy,Train Loss
Llama,1B,Fold 1,0.1107,0.1981,0.8524,,,0.0131,0.1397,0.8345,0.5846,1.5547
,,Fold 2,0.111,0.1988,0.8531,,,0.0144,0.1489,0.8368,0.0277,1.5525
,,Fold 3 ,0.1095,0.1994,0.8538,,,0.0127,0.1427,0.8353,0.5784,0.0911
,,Fold 4,0.1134,0.2008,0.8545,,,0.0135,0.1439,0.8349,0.0325,1.5519
,,Fold 5,0.1159,0.2013,0.8529,,,0.0148,0.1475,0.8366,0.0177,1.56
,3B,Fold 1,0.1107,0.1984,0.8524,,,0.0054,0.1045,0.7664,0.5379,1.3082
,,Fold 2,0.1119,0.2013,0.8531,,,0.0054,0.1022,0.7628,0.5171,1.308
,,Fold 3 ,0.1307,0.226,0.8539,,,0.0059,0.1042,0.7636,0.5331,1.3138
,,Fold 4,0.1344,0.2281,0.8547,,,0.0059,0.1055,0.7649,0.537,1.3238
,,Fold 5,0.1392,0.2296,0.8531,,,0.5526,0.1024,0.7636,0.5264,1.3176
,7B,Fold 1,0.169,0.2593,0.8526,,,0.0137,0.1342,0.8286,0.5557,1.1233
,,Fold 2,0.1751,0.2674,0.8529,,,0.0106,0.1308,0.8279,0.5311,1.1409
,,Fold 3 ,0.1727,0.266,0.8299,,,0.0131,0.1334,0.8293,0.5458,0.8584
,,Fold 4,0.0121,0.1374,0.8446,,,0.0121,0.1307,0.8277,0.025,0.6283
,,Fold 5,0.0122,0.0358,0.8449,,,0.0112,0.01281,0.8268,0.0292,0.815
Falcon,1B,Fold 1,0.087,0.204,0.8489,,,0.015,0.1492,0.8392,0.0102,1.7329
,,Fold 2,0.0877,0.2101,0.8495,,,0.0146,0.15,0.8382,0.0121,1.7262
,,Fold 3 ,0.0887,0.208,0.8495,,,0.0143,0.1492,0.8287,0.0162,1.7392
,,Fold 4,0.0975,0.213,0.8503,,,0.0139,0.1494,0.8386,0.5764,1.0397
,,Fold 5,0.0894,0.2013,0.8491,,,0.0148,0.1477,0.8387,0.0097,1.7371
,3B,Fold 1,0.1604,0.3219,0.8746,,,0.0125,0.146,0.8416,0.5822,1.9123
,,Fold 2,0.1422,0.3144,0.8724,,,0.0106,0.1464,0.8408,0.5636,1.9067
,,Fold 3 ,0.1441,0.3169,0.873,,,0.0107,0.1471,0.8416,0.1184,0.3734
,,Fold 4,0.1618,0.3302,0.8751,,,0.0118,0.1472,0.8414,0.5813,1.9128
,,Fold 5,0.1499,0.3171,0.8731,,,0.01269,0.1476,0.8419,0.1093,1.8912
,7B,Fold 1,0.1436,0.2734,0.0838,,,0.0128,0.1466,0.8423,0.1067,1.5695
,,Fold 2,0.1239,0.2521,0.8596,,,0.0113,0.146,0.8408,0.5636,0.2521
,,Fold 3 ,0.0974,0.2408,0.8586,,,0.0125,0.1461,0.8415,0.1131,0.2521
,,Fold 4,0.139,0.2794,0.8637,,,0.0127,0.1473,0.8418,0.1176,0.2522
,,Fold 5,0.1203,0.2595,0.8621,,,0.0127,0.1615,0.8425,0.111,0.25
  Qwen,1B,Fold 1,0.0218,0.1362,0.845,,,0.0124,0.1348,0.839,0.5873,1.4123
,,Fold 2,0.0169,0.1336,0.8438,,,0.012,0.1349,0.8377,0.5673,1.411
,,Fold 3 ,0.0183,0.1333,0.8448,,,0.011,0.1341,0.8385,0.5813,1.4112
,,Fold 4,0.0176,0.1319,0.8439,,,0.0133,0.1343,0.8389,0.5868,0.3534
,,Fold 5,0.0157,0.1292,0.8443,,,0.0113,0.1313,0.8363,0.5807,1.1212
,3B,Fold 1,0.0505,0.1719,0.8467,,,0.016,0.1438,0.8414,0.5903,1.2738
,,Fold 2,0.0448,0.1697,0.846,,,0.0148,0.1447,0.8408,0.5695,0.5789
,,Fold 3 ,0.0488,0.1715,0.8473,,,0.0149,0.1432,0.8409,0.5836,0.1562
,,Fold 4,0.0498,0.1737,0.8469,,,0.0176,0.1472,0.8398,0.5836,0.1562
,,Fold 5,0.0492,0.1731,0.8471,,,0.0167,0.1425,0.839,0.5836,0.1562
,7B,Fold 1,0.057,0.188,0.8516,,,0.034,0.1702,0.8471,0.595,1.0486
,,Fold 2,0.0496,0.1836,0.8498,,,0.0289,0.1662,0.8451,0.5727,0.9635
,,Fold 3 ,0.0558,0.1848,0.8514,,,0.0352,0.1728,0.8461,0.5899,0.8925
,,Fold 4,0.0597,0.8515,0.8515,,,0.0367,0.1615,0.8425,0.5899,0.8925
,,Fold 5,0.0558,0.1815,0.8514,,,0.0381,0.162,0.8426,0.5899,0.8925
